VIN,STUI Create Date,Mileage,Type,Attachment Name,Category,VIN Captured,Mileage Captured
5NTJCDDE4SH126751,01/02/2025 16:37:51,"2,190",image/jpeg,01022025093725.jpg,Part,Y,Y
5NTJCDDE4SH126751,01/02/2025 16:38:13,"2,190",image/jpeg,01022025093758.jpg,Repair Order,Y,Y
5NTJCDDE4SH126751,01/02/2025 16:39:01,"2,190",image/jpeg,01022025093841.jpg,Part,Y,Y
5NTJCDDE4SH126751,01/02/2025 16:39:15,"2,190",image/jpeg,01022025093904.jpg,Repair Order,Y,Y
5NTJEDAF4PH049636,01/02/2025 17:11:19,"38,989",video/mp4,01022025100845.mp4,,Y,Y
5NMP3DG14RH012967,01/02/2025 16:53:02,"4,658",image/jpeg,01022025095158.jpg,Part,Y,N
5NMP3DG14RH012967,01/02/2025 16:53:37,"4,658",image/jpeg,01022025095307.jpg,Repair Order,Y,N
5NMP3DG14RH012967,01/02/2025 16:54:27,"4,658",image/jpeg,01022025095408.jpg,Odometer/Mileage,Y,N
5NMP3DG14RH012967,01/02/2025 17:12:04,"4,658",image/jpeg,01022025100922.jpg,Part,Y,N
5NMP3DG14RH012967,01/02/2025 17:22:44,"4,658",image/jpeg,01022025101553.jpg,Part,Y,N
5NTJEDAF4PH049636,01/02/2025 22:26:36,"38,989",image/jpeg,01022025152612.jpg,,Y,Y
5XYZUDLB9EG186445,01/03/2025 15:54:59,"77,736",image/jpeg,01032025085409.jpg,Part,Y,N
5XYZUDLB9EG186445,01/03/2025 15:55:27,"77,736",image/jpeg,01032025085502.jpg,Repair Order,Y,N
5XYZUDLB9EG186445,01/03/2025 15:56:05,"77,736",image/jpeg,01032025085545.jpg,Odometer/Mileage,Y,N
5XYZUDLB9EG186445,01/03/2025 15:57:18,"77,736",image/jpeg,01032025085636.jpg,Part,Y,N
5XYZUDLB9EG186445,01/03/2025 15:58:25,"77,736",image/jpeg,01032025085731.jpg,Part,Y,N
5XYZUDLB9EG186445,01/03/2025 17:18:28,"77,736",video/mp4,01032025101627.mp4,Part,Y,N
5XYZUDLB9EG186445,01/03/2025 17:19:00,"77,736",image/jpeg,01032025101836.jpg,Odometer/Mileage,Y,N
5XYZUDLB9EG186445,01/03/2025 17:20:47,"77,736",image/jpeg,01032025101912.jpg,Repair Order,Y,N
5XYZUDLB9EG186445,01/03/2025 17:26:14,"77,736",video/mp4,01032025102457.mp4,Part,Y,N
5XYZUDLB9EG186445,01/03/2025 17:30:03,"77,736",video/mp4,01032025102906.mp4,Part,Y,N
5XYZUDLB9EG186445,01/03/2025 17:35:30,"77,736",video/mp4,01032025103418.mp4,Part,Y,N
5NMS2DAJXPH607552,01/03/2025 20:52:46,"34,081",image/jpeg,01032025135136.jpg,Part,Y,Y
5NMS2DAJXPH607552,01/03/2025 20:53:24,"34,081",image/jpeg,01032025135250.jpg,Repair Order,Y,Y
5XYZUDLB9EG186445,01/03/2025 22:57:13,"77,736",video/mp4,01032025155225.mp4,Part,Y,N
5XYZUDLB9EG186445,01/03/2025 22:58:03,"77,736",image/jpeg,01032025155742.jpg,Odometer/Mileage,Y,N
5XYZUDLB9EG186445,01/03/2025 22:58:47,"77,736",image/jpeg,01032025155822.jpg,Repair Order,Y,N
5NMP3DG16RH003848,01/07/2025 16:58:43,"8,121",image/jpeg,01072025095420.jpg,Part,Y,N
5NMP3DG16RH003848,01/07/2025 16:59:20,"8,121",image/jpeg,01072025095857.jpg,Odometer/Mileage,Y,N
5NMP3DG16RH003848,01/07/2025 17:00:22,"8,121",image/jpeg,01072025095952.jpg,Repair Order,Y,N
5NMP3DG16RH003848,01/07/2025 17:11:19,"8,121",image/jpeg,01072025101012.jpg,Part,Y,N
5NMP3DG16RH003848,01/07/2025 17:22:44,"8,121",image/jpeg,01072025102206.jpg,Part,Y,N
5NMP3DG16RH003848,01/07/2025 17:24:36,"8,121",image/jpeg,01072025102310.jpg,Part,Y,N
5NMP3DG16RH003848,01/07/2025 17:31:45,"8,121",image/jpeg,01072025103013.jpg,Part,Y,N
KM8KRDAF2PU211594,01/07/2025 19:12:24,"12,128",image/jpeg,01072025121155.jpg,Part,Y,Y
KM8KRDAF2PU211594,01/07/2025 19:12:52,"12,128",image/jpeg,01072025121231.jpg,Part,Y,Y
KM8KRDAF2PU211594,01/07/2025 19:13:17,"12,128",image/jpeg,01072025121258.jpg,Part,Y,Y
